cve_entidad,desc_entidad,cve_municipio,desc_municipio,id_indicador,indicador,año,valor,unidad_medida
10,Durango,0,Estatal,1001000001,Superficie continental,2020,123364.04245545,Kilómetros cuadrados
10,Durango,0,Estatal,1002000001,Población total,1910,483175,Personas
10,Durango,0,Estatal,1002000001,Población total,1921,336766,Personas
10,Durango,0,Estatal,1002000001,Población total,1930,404364,Personas
10,Durango,0,Estatal,1002000001,Población total,1940,483829,Personas
10,Durango,0,Estatal,1002000001,Población total,1950,629874,Personas
10,Durango,0,Estatal,1002000001,Población total,1960,760836,Personas
10,Durango,0,Estatal,1002000001,Población total,1970,939208,Personas
10,Durango,0,Estatal,1002000001,Población total,1980,1182320,Personas
10,Durango,0,Estatal,1002000001,Población total,1990,1349378,Personas
10,Durango,0,Estatal,1002000001,Población total,1995,1431748,Personas
10,Durango,0,Estatal,1002000001,Población total,2000,1448661,Personas
10,Durango,0,Estatal,1002000001,Población total,2005,1509117,Personas
10,Durango,0,Estatal,1002000001,Población total,2010,1632934,Personas
10,Durango,0,Estatal,1002000001,Población total,2015,1759848,Personas
10,Durango,0,Estatal,1002000001,Población total,2020,1832650,Personas
10,Durango,0,Estatal,1002000002,Población total hombres,1995,709268,Personas
10,Durango,0,Estatal,1002000002,Población total hombres,2000,709521,Personas
10,Durango,0,Estatal,1002000002,Población total hombres,2005,738095,Personas
10,Durango,0,Estatal,1002000002,Población total hombres,2010,803890,Personas
10,Durango,0,Estatal,1002000002,Población total hombres,2020,904866,Personas
10,Durango,0,Estatal,1002000003,Población total mujeres,1995,722480,Personas
10,Durango,0,Estatal,1002000003,Población total mujeres,2000,739140,Personas
10,Durango,0,Estatal,1002000003,Población total mujeres,2005,771022,Personas
10,Durango,0,Estatal,1002000003,Población total mujeres,2010,829044,Personas
10,Durango,0,Estatal,1002000003,Población total mujeres,2020,927784,Personas
10,Durango,0,Estatal,1002000004,Porcentaje de población de 15 a 29 años,1995,29,No especificada
10,Durango,0,Estatal,1002000004,Porcentaje de población de 15 a 29 años,2000,27.4,No especificada
10,Durango,0,Estatal,1002000004,Porcentaje de población de 15 a 29 años,2005,26.4,No especificada
10,Durango,0,Estatal,1002000004,Porcentaje de población de 15 a 29 años,2010,26.6,No especificada
10,Durango,0,Estatal,1002000004,Porcentaje de población de 15 a 29 años,2015,25.9610748857105,No especificada
10,Durango,0,Estatal,1002000004,Porcentaje de población de 15 a 29 años,2020,25.0172863799724,No especificada
10,Durango,0,Estatal,1002000005,Porcentaje de hombres de 15 a 29 años,1995,28.7,No especificada
10,Durango,0,Estatal,1002000005,Porcentaje de hombres de 15 a 29 años,2000,26.9,No especificada
10,Durango,0,Estatal,1002000005,Porcentaje de hombres de 15 a 29 años,2005,26.1,No especificada
10,Durango,0,Estatal,1002000005,Porcentaje de hombres de 15 a 29 años,2010,26.8,No especificada
10,Durango,0,Estatal,1002000005,Porcentaje de hombres de 15 a 29 años,2015,12.8288067729152,No especificada
10,Durango,0,Estatal,1002000005,Porcentaje de hombres de 15 a 29 años,2020,25.3310675419854,No especificada
10,Durango,0,Estatal,1002000006,Porcentaje de mujeres de 15 a 29 años,1995,29.4,No especificada
10,Durango,0,Estatal,1002000006,Porcentaje de mujeres de 15 a 29 años,2000,27.9,No especificada
10,Durango,0,Estatal,1002000006,Porcentaje de mujeres de 15 a 29 años,2005,26.8,No especificada
10,Durango,0,Estatal,1002000006,Porcentaje de mujeres de 15 a 29 años,2010,26.5,No especificada
10,Durango,0,Estatal,1002000006,Porcentaje de mujeres de 15 a 29 años,2015,13.1322681127953,No especificada
10,Durango,0,Estatal,1002000006,Porcentaje de mujeres de 15 a 29 años,2020,24.7112617889515,No especificada
10,Durango,0,Estatal,1002000007,Porcentaje de población de 60 y más años,1995,7.1,No especificada
10,Durango,0,Estatal,1002000007,Porcentaje de población de 60 y más años,2000,7.9,No especificada
10,Durango,0,Estatal,1002000007,Porcentaje de población de 60 y más años,2005,8.8,No especificada
